id,week,team,points,talent,home,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,defensiveTDs,sacks,kickReturnYards,kickReturnTDs
401114338,12,Notre Dame,52,843.29,1,410,105,305,13.9,3.4,18,0,1,2,0,0
401117882,7,Tulsa,17,424.54,1,323,69,254,5.3,2.4,16,0,0,0,62,0
401117908,13,Connecticut,24,412.55,1,527,94,433,11.1,3.1,20,3,0,0,37,0
401117884,8,UCF,41,598.57,1,611,197,414,10.4,4.2,31,1,0,3,0,0
401112432,1,NC State,34,668.85,1,505,191,314,8.1,6.2,23,0,0,3,0,0
401117864,3,Navy,42,335.4,1,468,315,153,19.1,4.9,27,1,0,0,21,0
401114271,5,Old Dominion,21,374.74,1,293,90,203,6.8,2.1,16,3,0,1,20,0
401117902,11,SMU,59,565.15,1,636,222,414,9.0,6.0,33,1,0,2,73,0
401117854,1,Cincinnati,24,576.61,1,417,175,242,9.3,3.6,23,2,0,2,28,0
401114210,8,Stanford,16,787.59,1,198,55,143,4.5,1.8,11,1,1,3,38,0
401114215,4,Washington State,63,556.27,1,720,150,570,9.3,7.1,28,6,0,2,23,0
401114217,13,USC,52,915.56,1,643,128,515,11.0,4.0,34,1,0,3,20,0
401114216,12,Utah,49,620.35,1,536,201,335,17.6,5.3,19,1,1,5,0,0
401114166,5,Arizona,20,570.07,1,451,99,352,8.0,3.3,21,0,0,4,0,0
401117863,3,Cincinnati,35,576.61,1,420,234,186,6.2,4.9,23,1,0,10,53,0
401132982,15,Central Michigan,21,416.63,1,355,99,256,6.0,3.2,20,1,0,3,51,0
401112253,4,Ohio State,76,973.56,1,601,227,374,12.5,5.4,30,1,0,10,0,0
401119314,14,Ball State,41,327.92,1,578,261,317,7.9,4.8,30,1,0,0,23,0
401119298,11,Ohio,21,337.17,1,374,241,133,4.9,5.2,25,2,0,2,0,0
401119278,7,Western Michigan,38,452.05,1,310,173,137,5.5,4.3,16,1,1,12,17,0
401112191,1,Iowa,38,637.65,1,465,213,252,8.4,5.2,26,1,0,1,19,0
401119291,9,Kent State,16,313.22,1,336,127,209,4.8,3.2,25,2,0,2,23,0
401117875,6,Cincinnati,27,576.61,1,341,192,149,4.8,4.7,18,1,2,6,19,0
401117906,13,Tulane,31,486.98,1,402,221,181,6.7,4.0,21,0,1,0,119,1
401117891,9,Temple,21,489.03,1,266,45,221,7.1,1.1,12,2,0,4,108,0
401112461,4,Pittsburgh,35,637.95,1,439,196,243,4.8,5.3,30,1,1,6,63,0
401114249,2,Florida Atlantic,14,524.02,1,314,137,177,4.4,2.9,22,1,0,1,25,0
401117900,11,Tulsa,34,424.54,1,353,139,214,8.9,2.5,21,0,0,5,20,0
401117885,8,Cincinnati,24,576.61,1,317,145,172,7.8,3.5,18,2,0,10,67,0
401117898,10,Tulane,38,486.98,1,474,290,184,11.5,6.3,20,2,1,4,87,0
401117501,2,San José State,16,433.33,1,348,115,233,6.3,3.7,18,1,0,0,132,0
401112212,1,Michigan State,28,688.74,1,303,108,195,5.1,2.7,18,0,0,6,51,0
401117915,14,East Carolina,24,468.23,1,383,75,308,6.4,2.6,24,1,0,1,91,0
401117878,6,SMU,43,565.15,1,440,130,310,7.4,2.7,25,1,1,1,119,0
401117901,11,Cincinnati,48,576.61,1,507,307,200,7.1,7.1,27,1,0,4,56,0
401117872,5,UCF,56,598.57,1,607,230,377,12.6,6.2,28,1,2,3,22,0
401117880,7,Tulane,49,486.98,1,634,311,323,9.5,6.8,31,0,2,2,0,0
401117914,14,Temple,49,489.03,1,574,262,312,10.8,7.9,20,0,1,4,55,0
401114357,9,UMass,35,358.88,1,439,200,239,6.0,5.3,24,3,0,0,154,0
401112160,4,Indiana,38,603.81,1,430,178,252,9.0,4.5,25,2,2,4,11,0
401135910,1,Charlotte,49,386.38,1,508,322,186,6.6,7.0,27,3,1,11,61,0
401117860,2,East Carolina,48,468.23,1,574,365,209,6.7,7.2,31,1,0,10,23,0
401114255,3,Charlotte,52,386.38,1,533,338,195,12.2,8.5,22,0,2,10,81,0
401114332,11,Army,63,265.19,1,546,498,48,8.0,6.4,34,1,0,3,0,0
401112264,1,Rutgers,48,587.28,1,554,206,348,10.9,4.8,24,3,0,2,51,0
401114281,7,Louisiana Tech,69,501.25,1,689,385,304,8.7,10.1,28,3,2,4,102,0
401114274,6,Florida International,44,532.88,1,541,278,263,8.0,5.1,26,1,1,4,0,0
401112250,12,Northwestern,45,612.62,1,410,334,76,5.8,6.4,16,3,0,2,8,0
401114267,5,Charlotte,27,386.38,1,336,52,284,7.5,1.9,17,3,0,4,69,0
401114301,10,Western Kentucky,24,486.97,1,444,64,380,8.1,2.5,21,4,0,1,86,0
401112251,1,Ohio State,45,973.56,1,469,237,232,8.9,4.9,24,2,0,4,67,0
401114257,3,Ball State,31,327.92,1,470,167,303,8.0,4.6,24,4,1,1,118,0
401114314,13,UT San Antonio,26,471.36,1,401,192,209,7.0,5.1,20,3,0,1,49,0
401114295,9,Old Dominion,3,374.74,1,204,70,134,4.6,1.8,14,1,0,1,51,0
401114293,9,Charlotte,39,386.38,1,589,253,336,10.5,6.0,27,0,0,3,23,0
401114176,3,California,23,611.58,1,278,149,129,5.9,3.1,17,0,0,4,53,0
401114282,7,Southern Mississippi,45,456.29,1,563,142,421,11.7,3.8,24,0,0,2,1,0
401114317,13,Rice,20,397.04,1,328,122,206,7.4,2.8,19,2,0,3,61,0
401114306,11,Louisiana Tech,52,501.25,1,542,264,278,7.0,5.0,37,2,1,1,25,0
401114253,2,SMU,49,565.15,1,503,211,292,9.4,5.4,25,1,0,10,67,0
401114299,10,Charlotte,34,386.38,1,440,248,192,9.1,4.5,25,0,0,1,0,0
401114324,14,Western Kentucky,31,486.97,1,474,180,294,9.8,6.7,20,1,0,3,39,0
401114290,8,North Texas,33,457.24,1,507,132,375,8.3,4.0,27,3,2,1,123,0
401112193,5,Iowa,48,637.65,1,644,351,293,10.1,6.9,30,0,0,4,20,0
401112222,1,Michigan,40,853.4,1,453,233,220,6.7,5.2,26,2,0,3,76,0
401114280,7,Florida Atlantic,28,524.02,1,368,203,165,5.3,5.1,19,0,0,3,78,0
401114313,13,Charlotte,24,386.38,1,422,256,166,7.5,5.0,26,3,0,2,0,0
401114302,10,Rice,7,397.04,1,231,128,103,4.0,4.1,16,0,0,3,15,0
401114251,2,Boise State,14,561.42,1,437,155,282,8.3,3.3,22,2,0,3,66,0
401114275,6,Middle Tennessee,24,450.79,1,404,143,261,8.7,3.9,21,0,0,4,0,0
401114288,8,Florida Atlantic,31,524.02,1,419,57,362,9.3,1.6,22,1,0,2,51,0
401117853,1,UCF,62,598.57,1,694,338,356,9.4,6.0,42,0,0,2,50,0
401114208,3,UCF,45,598.57,1,545,198,347,11.6,4.5,24,1,0,0,22,0
401114190,11,Colorado,16,614.27,1,358,172,186,6.2,4.2,24,1,0,2,0,0
401114202,5,Oregon State,28,595.5,1,501,164,337,8.6,5.0,28,0,0,2,45,0
401114231,12,Washington State,49,556.27,1,624,104,520,8.7,5.0,33,1,0,2,152,0
401114207,2,USC,45,915.56,1,492,115,377,11.4,4.1,23,1,0,3,79,0
401112453,3,Western Kentucky,21,486.97,1,288,43,245,5.2,1.9,14,2,0,3,109,0
401112481,7,Wake Forest,59,563.24,1,668,245,423,7.6,5.3,40,3,0,2,120,0
401110868,14,Kentucky,45,672.74,1,521,517,4,2.0,12.9,16,0,0,6,-4,0
401112512,12,NC State,20,668.85,1,377,134,243,5.3,3.8,25,3,0,3,82,0
401112457,4,Florida State,35,878.07,1,522,140,382,11.2,3.4,26,0,0,12,18,0
401112505,11,Miami,52,815.12,1,449,197,252,11.0,6.2,21,0,0,3,104,0
401114273,5,Western Kentucky,20,486.97,1,222,33,189,7.9,1.1,14,1,0,3,31,0
401110840,10,Tennessee,30,830.34,1,302,121,181,6.7,3.1,20,1,0,3,0,0
401114284,7,UT San Antonio,14,471.36,1,220,126,94,4.7,3.5,12,2,0,0,91,0
401114308,11,Southern Mississippi,37,456.29,1,325,161,164,7.5,4.7,13,1,1,4,0,0
401114325,14,North Texas,21,457.24,1,289,21,268,7.9,0.6,19,2,0,3,31,0
401114254,2,Akron,20,312.81,1,393,34,359,8.0,1.2,16,2,0,0,14,0
401132980,15,Florida Atlantic,49,524.02,1,585,286,299,7.7,6.8,29,1,1,3,0,0
401114286,8,Western Kentucky,30,486.97,1,351,60,291,9.4,1.7,19,0,0,4,22,0
401112456,4,Clemson,52,863.03,1,466,235,231,9.2,6.0,27,2,2,4,1,0
401114247,2,Appalachian State,56,412.32,1,458,276,182,9.1,7.1,16,0,2,8,109,1
401114320,14,Old Dominion,22,374.74,1,356,183,173,4.6,4.1,24,3,0,0,94,0
401114304,11,UTEP,21,355.31,1,389,174,215,10.8,4.7,17,1,0,1,0,0
401114279,7,Florida International,48,532.88,1,510,350,160,10.0,6.6,26,0,0,1,0,0
401114236,1,Tulane,42,486.98,1,545,350,195,10.3,7.1,28,1,0,3,29,0
401114321,14,Marshall,30,489.63,1,290,200,90,4.5,3.5,23,1,0,1,45,0
401114262,4,Louisiana Tech,43,501.25,1,565,275,290,7.1,6.4,31,1,1,3,82,1
401114294,9,Middle Tennessee,50,450.79,1,496,471,25,2.1,8.6,19,0,0,0,35,0
401114305,11,Florida Atlantic,37,524.02,1,579,261,318,8.2,5.9,30,0,0,0,0,0
401117868,3,Tulane,58,486.98,1,540,298,242,11.0,5.7,26,1,2,2,75,0
401111653,1,Clemson,52,863.03,1,632,411,221,7.4,8.4,29,3,0,8,58,0
401112469,5,Temple,24,489.03,1,322,195,127,5.8,4.0,17,1,1,3,0,0
401112504,11,Virginia,33,580.28,1,413,155,258,7.4,4.2,25,0,0,0,129,0
401112480,7,Duke,41,633.24,1,373,197,176,8.8,3.6,20,0,2,4,59,0
401112488,8,Miami,21,815.12,1,357,157,200,6.5,4.9,21,1,0,6,29,0
401110784,2,Clemson,24,863.03,1,389,121,268,7.7,3.7,26,1,0,2,18,0
401110807,5,Arkansas,27,707.72,1,395,98,297,6.8,3.8,26,1,2,4,0,0
401110869,14,LSU,50,906.17,1,553,128,425,11.8,3.3,31,0,0,6,26,0
401110857,13,Georgia,19,960.16,1,260,97,163,7.1,2.7,12,0,0,2,41,0
401110827,8,Ole Miss,17,717.92,1,405,250,155,5.0,5.7,22,2,0,8,16,0
401112490,9,Clemson,59,863.03,1,674,302,372,10.3,6.9,36,0,2,4,34,0
401112265,4,Rutgers,16,587.28,1,380,76,304,8.9,2.9,14,2,0,0,50,0
401112522,14,Pittsburgh,19,637.95,1,394,71,323,7.9,3.0,22,4,0,1,4,0
401112473,6,Louisville,41,645.84,1,664,236,428,12.6,5.4,26,0,0,0,43,0
401112514,13,Notre Dame,40,843.29,1,501,252,249,6.1,5.7,27,0,0,4,17,0
401112495,10,Syracuse,27,574.82,1,448,159,289,8.0,3.8,20,1,0,0,35,0
401112496,10,Clemson,59,863.03,1,702,419,283,10.5,11.3,28,0,0,0,57,0
401112508,12,Clemson,52,863.03,1,516,168,348,9.9,4.4,26,1,0,2,51,0
401112466,5,Boston College,24,564.95,1,533,252,281,9.1,5.7,26,2,0,2,78,0
401112447,2,Rice,21,397.04,1,321,67,254,7.3,1.8,20,1,0,0,44,0
401112506,11,Virginia Tech,36,696.39,1,470,228,242,10.5,4.8,21,2,0,3,91,0
401112525,14,Syracuse,39,574.82,1,441,180,261,6.7,4.1,25,3,0,1,89,0
401132975,15,Clemson,62,863.03,1,619,211,408,14.1,5.6,28,0,0,2,32,0
401112499,10,North Carolina,31,697.75,1,539,186,353,12.2,4.8,25,0,0,3,23,0
401112433,1,Pittsburgh,14,637.95,1,263,78,185,4.5,2.6,15,2,0,6,26,0
401112493,9,Louisville,28,645.84,1,360,227,133,9.5,5.0,17,0,0,4,44,0
401112472,5,Notre Dame,35,843.29,1,322,157,165,6.6,4.2,19,1,1,8,16,0
401112478,7,Miami,17,815.12,1,265,83,182,6.7,3.3,14,0,0,5,21,0
401114237,1,UAB,24,441.81,1,290,176,114,5.7,3.8,16,2,1,3,154,1
401112510,12,Florida State,49,878.07,1,525,208,317,10.9,7.7,15,2,1,2,34,0
401114265,4,UAB,35,441.81,1,514,201,313,11.2,4.5,26,2,0,10,33,0
401112238,1,Nebraska,35,729.47,1,276,98,178,8.1,2.2,15,3,2,4,77,0
401121953,8,Troy,37,388.67,1,432,220,212,6.8,4.3,28,3,1,4,55,0
401121946,5,Louisiana Monroe,30,346.03,1,428,142,286,11.4,4.4,18,0,0,8,22,0
401121976,13,Georgia State,28,369.05,1,384,176,208,7.7,3.7,24,1,0,2,0,0
401121967,11,Texas State,30,348.47,1,415,42,373,11.3,1.2,21,2,0,2,122,0
401114277,6,UAB,35,441.81,1,409,127,282,10.8,3.4,18,2,0,4,50,0
401114238,1,Army,14,265.19,1,284,231,53,6.6,4.1,17,1,0,0,14,0
401114292,8,UT San Antonio,31,471.36,1,361,149,212,7.3,5.0,19,1,2,4,46,0
401114326,14,UTEP,16,355.31,1,312,99,213,5.9,3.1,18,0,0,1,10,0
401114310,12,Middle Tennessee,28,450.79,1,458,120,338,10.9,4.0,21,2,0,2,17,0
401114291,8,UAB,38,441.81,1,435,175,260,9.0,4.0,21,2,0,10,9,0
401114283,7,Marshall,31,489.63,1,444,236,208,6.5,5.1,27,0,0,16,23,0
401112463,4,Virginia,28,580.28,1,244,69,175,7.3,2.4,14,0,1,12,119,0
401112446,2,Virginia Tech,31,696.39,1,403,131,272,9.7,3.4,21,2,0,5,112,0
401114316,13,Middle Tennessee,38,450.79,1,391,147,244,9.0,4.2,22,0,1,0,10,0
401114300,10,Florida International,24,532.88,1,389,137,252,7.6,3.4,20,0,0,3,42,0
401114312,12,UAB,37,441.81,1,449,353,96,9.6,7.2,17,0,0,2,0,0
401112140,2,Texas Tech,38,577.21,1,424,143,281,5.9,4.8,27,1,0,3,28,0
401114272,5,Southern Mississippi,31,456.29,1,519,168,351,12.5,4.5,21,1,0,4,49,0
401114303,10,North Texas,52,457.24,1,479,147,332,8.5,4.2,25,1,0,4,157,0
401114287,8,Florida International,32,532.88,1,335,185,150,8.8,5.8,15,0,0,3,91,0
401114319,13,New Mexico State,44,269.79,1,441,259,182,5.9,10.4,17,0,1,3,8,0
401110731,1,Texas A&M,41,848.89,1,478,246,232,6.4,6.8,22,2,0,3,19,0
401121963,10,Louisiana,31,406.49,1,479,296,183,8.7,6.0,24,1,0,0,26,0
401121973,13,Appalachian State,35,412.32,1,468,280,188,11.1,5.7,23,1,0,3,63,0
401121980,14,Coastal Carolina,24,305.73,1,380,223,157,7.1,4.2,22,0,0,3,57,0
